Unnamed: 0,Giới tính,Hình thức làm việc,Kinh nghiệm,Mức lương,Ngành nghề,Số lượng tuyển dụng,Thời gian thử việc,Trình độ,Tính chất công việc,Tỉnh/Thành phố,benefits,description,job_title,link,requirements
,Nam,Nhân viên chính thức,Chưa có kinh nghiệm,7 - 10 triệu,Cơ khí/Kĩ thuật ứng dụngLao động phổ thôngĐiện/Điện tử/Điện lạnh,30,1 tháng,Không yêu cầu,Giờ hành chính,TP.HCMBình DươngĐồng NaiToàn quốc,"- Lương từ 7 triệu – 10 triệu. Trao đổi cụ thể khi phỏng vấn
- Thưởng + phụ cấp hàng tháng
- Được tham gia bảo hiểm y tế, bảo hiểm xã hội, bảo hiểm thất nghiệp theo quy định của nhà nước.
- Được nghỉ lễ, tết và những ngày nghỉ theo quy định của nhà nước.
- Được đào tạo nâng cao tay nghề
- Tăng ca được nhân hệ số 1.5, chủ nhật x2 và lễ x3.
- Được hưởng các chế độ lương thưởng, chế độ nghỉ ngơi theo luật lao động Việt Nam và của công ty","- Thực hiện các công việc lắp ráp ô tô (không có tay nghề sẽ được đào tạo):
+ Làm sắt hàn, sơn ô tô,…
+ Làm cơ khí gia công chi tiết ô tô,…
+ Lắp ráp nội thất, điện, khung gầm ô tô,…
- Làm điện
Website công ty: http://www.tracomeco.com/
Thời gian làm việc (8 tiếng): từ 7g15 - 4g30 chiều, nghỉ trưa 1 tiếng rưỡi, chủ nhật được nghỉ.",,,"- Nam từ 18 -35 tuổi
- Có sức khỏe tốt, trung thực, có tinh thần trách nhiệm cao, có khả năng làm thêm giờ theo yêu cầu của công ty.
- Không ngừng học hỏi để nâng cao tay nghề
- Có trình độ từ lớp 9 – lớp 12
- Ưu tiên có trình độ từ chứng chỉ nghề hoặc trung cấp nghề trở lên liên quan đến các chuyên ngành: Hàn, Công nghệ ô tô, Cơ khí chế tạo,..( Không bắt buộc).
- Lao động phổ thông
- Thợ điện tốt nghiệp trung cấp Điện công nghiệp trở lên
- Công nhân kỹ thuật tốt nghiệp trung cấp Hàn, kỹ thuật ô tô, kỹ thuật cơ khí trở lên"
,Không yêu cầu,Nhân viên chính thức,1 năm,7 - 10 triệu,Lao động phổ thôngHành chính/Thư ký/Trợ lýDu lịch/Nhà hàng/Khách sạn,3,Nhận việc ngay,Không yêu cầu,Việc làm theo ca/Đổi ca,TP.HCM,"- Mức lương thử việc: 8,500,000Đ - chính thức 9,500,000Đ (ca 9h đến hết khách); 6,5000,000Đ - chính thức 7,500,000Đ (ca 6h30 sáng đến 2h chiều)
- Bao cơm hai bữa trưa chiều.
- Lương tháng 13, bảo hiểm sau 1 năm.
- Được thưởng vào các dịp Lễ, Tết.
- Được tham gia các loại bảo hiểm theo quy định của pháp luật (BHXH, BHYT, BHHTN), theo quy định của công ty.","- Tính tiền cho khách hàng tại nhà hàng
- In bill, xuất bill.. xử lý các chứng từ, hóa đơn sai sót.
- Hỗ trợ chấm công cho nhân viên.
- Nộp tiền, giấy tờ cho phòng kế toán.
- Xử lí công nợ của nhà cung cấp

**Làm việc tại 1 trong 3 địa điểm sau:
- 195 Nam Kì Khởi Nghĩa, Phường Võ Thị Sáu, Quận 3
- 15 Yên Thế, Phường 2, Quận Tân Bình
- 163 Trần Não, phường An Khánh, Thủ Đức",,,"- Biết sử dụng word, excel.
- Đã có kinh nghiệm làm việc ở vị trí thu ngân.
- Chăm chỉ, cẩn thận, giao tiếp tốt
- Thời gian làm việc: Từ 9h đến hết khách, giữa ca nghỉ 3 tiếng hoặc 6h30 sáng đến 2h chiều"
,Nam,Nhân viên chính thức,Không yêu cầu kinh nghiệm,7 - 13 triệu ( + Hoa hồng từ 2% đến 5%),Cơ khí/Kĩ thuật ứng dụngLao động phổ thôngSản xuất/Vận hành sản xuất,4,2 tháng,Không yêu cầu,Giờ hành chính,Hà Nội,"- Được nghỉ các ngày lễ theo quy định
- Được tham gia đóng bảo hiểm xã hội
- Được thưởng lương tháng 13 và đủ 12 ngày phép trong năm
- Được đi du lịch hàng năm
- Thưởng theo doanh thu cùng phòng kinh doanh
- Được đào tạo các kỹ năng mềm, kỹ thuật chuyên môn","Xử lý các đơn hàng về cơ khí cho khách hàng, thực hiện các công việc liên quan đến kỹ thuật của công ty, kiểm tra đánh giá sản phẩm để thực hiện gia công, tính khả thi của sản phẩm và kết hợp với phòng kinh doanh, kỹ thuật để thực hiện gia công sản phẩm cho khách hàng.
- Làm sạch bề mặt sản phẩm
- Phủ sơn lên sản phẩm
- Gia nhiệt sản phẩm
- Khảo sát khách hàng khi phòng kinh doanh yêu cầu",,,"- Không yêu cầu trình độ
- Sức khỏe tốt
- Chăm chỉ, trung thực
- Ham học hỏi
- Được công ty đào tạo các kỹ năng mềm và chuyên môn khi làm việc tại công ty, nên không yêu cầu kinh nghiệm"
,Không yêu cầu,Nhân viên chính thức,2 năm,14 - 15 triệu,Thực phẩm/DV ăn uốngDu lịch/Nhà hàng/Khách sạnLao động phổ thông,2,1 tháng,Chứng chỉ,Giờ hành chính,TP.HCM,"- Mức lương: 14 Triệu.
- Được tham gia các chế độ bảo hiểm của nhà nước theo qui định của công ty.
- Xét duyệt tăng lương theo năng lực.
- Hỗ trợ ăn ở
- Khám sức khỏe định kỳ.","- Trực tiếp chế biến và nấu món Ăn, lên ý tưởng về các thực đơn mới
- Đảm bảo vị món ăn.
- Quản lý dụng cụ khu vực bếp
- Kiểm tra, giám sát hoạt động của bộ phận, đảm bảo chất lượng, vệ sinh ATTP
- Theo dõi, báo cáo, đảm bảo các nguồn chi phí về nguyên vật liệu
- Đào tạo và phát triển nhân sự dưới quyền.
- Thực hiện các công việc chuyên môn và nhiệm vụ liên quan khác khi có yêu cầu.",,,"- Có kinh nghiệm tối thiểu 2 năm bếp chính qui mô trên 3000 suất ngành bếp ăn công nghiệp.
- Có bằng cấp về nghành bếp
- Tốt nghiệp tối thiểu THPT
- Siêng năng chịu khó"
,Không yêu cầu,Nhân viên chính thức,Không yêu cầu kinh nghiệm,12 - 20 triệu ( + Hoa hồng từ 2% đến 4%),Kinh doanhChăm sóc khách hàngLao động phổ thông,12,Trao đổi trực tiếp khi phỏng vấn,Không yêu cầu,Giờ hành chính,TP.HCM,"- Lương cứng 6 triệu đồng /tháng +Hoa hồng từ 2.0- 4.0%. Khởi điểm từ 10 triệu/tháng trở lên ( thu nhập trung bình 15 triệu/tháng)
- Xét tăng ngạch lương theo thâm niên.
- Duy trì đạt doanh số thưởng thêm ít nhất 1.000.000/tháng
- Làm việc trong môi trường chuyên nghiệp và năng động.
- Được training bài bản và liên tục trong quá trình công tác.
- Được kí hợp đồng lao động chính thức với ngân hàng.
- Môi trường làm việc thân thiện,năng động và chuyên nghiệp.
- Được hưởng các chế độ bảo hiểm theo quy định như: BHYT, BHXH, BHTN...
- Được thưởng vào các dịp lễ, tết, sinh nhật,v.v
- Thưởng lương tháng 13, công đoàn, thành tích kinh doanh.
- Có nhiều cơ hội thăng tiến lên vị trí: teamleader, supervisor, Unit Head,...
- Hằng năm được tổ chức đi du lịch nghỉ mát( team building).","- Giới thiệu, tư vấn về sản phẩm hỗ trợ vay vốn tín chấp của ngân hàng theo nguồn KH được cung cấp sẵn. KH đã có nhu cầu vay sẵn.
- Hướng dẫn khách hàng về giấy tờ và theo dõi hồ sơ trên hệ thống.
- Theo yêu cầu của quản lý trong từng thời kỳ.",,,"- Tốt nghiệp THPT trở lên, không yêu cầu kinh nghiệm, trong quá trình làm việc sẽ được training thêm kỹ năng
- Ưu tiên ứng viên có kinh nghiệm telasales, call center, tư vấn bán hàng,... là một lợi thế
- Chỉ nhận hồ sơ đúng yêu cầu
- Chỉ cần nhanh nhẹn, năng động, chịu khó học hỏi
- Chỉ nhận hồ sơ dưới 30 tuổi"
,Không yêu cầu,Nhân viên chính thức,1 năm,10 - 12 triệu,Thực phẩm/DV ăn uốngDu lịch/Nhà hàng/Khách sạnLao động phổ thông,3,1 tháng,Không yêu cầu,Việc làm thêm/Làm việc ngoài giờ,TP.HCM,"- Thời gian làm việc: 5pm-1am
- Lương cơ bản: 10 Triệu
- Được đào tạo và phát triển kỹ năng chuyên môn
- Làm việc trong môi trường môi trường trẻ trung, năng động, có cơ hội học hỏi phát triển bản thân
- Được đào tạo, huấn luyện nâng cao kỹ năng, nghiệp vụ
- Công việc ổn định, lâu dài
- Phỏng vấn và đi làm ngay","- Chuẩn bị nguyên vật liệu
- Pha chế theo menu và yêu cầu của khách hàng
- Sáng tạo, đề xuất đồ uống mới. Giới thiệu đồ uống khi được khách hàng yêu cầu.
- Gìn giữ quầy pha chế, dụng cụ pha chế luôn sạch sẽ, ngăn nắp.
- Trao đổi thêm khi phỏng vấn",,,"- Có kinh nghiệm trong ngành ít nhất 1 năm
- Có thể độc lập đứng quầy
- Biết sáng tạo món nước
- Am hiểu các quy tắc về pha chế và kết hợp đồ uống.
- Thái độ tích cực, niềm nở với khách hàng.
- Kỹ năng giao tiếp tốt.
- Gọn gàng, ngăn nắp.
- Trung thực, sáng tạo."
,Không yêu cầu,Nhân viên chính thức,Không yêu cầu kinh nghiệm,6 - 11 triệu,Bán hàngSinh viên/Mới tốt nghiệp/Thực tậpLao động phổ thông,20,2 tháng,Không yêu cầu,Việc làm theo ca/Đổi ca,TP.HCMTiền GiangHà Nội,"- Thu nhập 6-11 triệu/ tháng (trong đó LCB: 5tr1 triệu + Thưởng doanh số bán hàng hàng tháng: Tương đương 1% doanh số (theo mức độ hoàn thành chỉ tiêu)
- Thưởng Quý: Tỏa sáng cùng Shoptretho
- Tăng lương theo quy định hàng năm
- Thưởng năm: Theo kết quả KPI hàng năm tối thiểu 85% (từ 0,5 đến 2 tháng lương)
- Thưởng lương tháng 13
- Chế độ: BHYT, BHXH, BHTN đầy đủ
- Du lịch (Teambuilding) 1 lần/ năm
- Thưởng Lễ, Tết, Sinh nhật, thâm niên
- Mua hàng giảm giá ưu đãi
- 12 ngày phép năm (khi chính thức)
- Được đào tạo đầu vào và phát triển năng lực trong quá trình làm việc (giao tiếp, bán hàng, quản lý...)
- Cơ hội thăng tiến Cửa hàng trưởng, Quản lý khu vực sau 6 tháng","Được thành lập vào năm 2009, Shop Trẻ Thơ là Hệ thống cửa hàng Mẹ và Bé uy tín đã có mặt trên toàn quốc với 37 cửa hàng chuyên về các mặt hàng chăm sóc riêng cho Mẹ và Bé, hiện tại cần tuyển Nhân Viên Bán Hàng, thực hiện các công việc sau:

- Tư vấn bán hàng, hỗ trợ thông tin sản phẩm cho KH
- Thực hiện các hoạt động hỗ trợ bán hàng như: vệ sinh trưng bày, kiểm kê hàng hóa, kiểm tra sản phẩm và tem nhãn…
- Cập nhật thông tin sử dụng của sản phẩm và chương trình khuyến mãi của hệ thống để tư vấn cho khách hàng
- Các công việc hỗ trợ khác theo nhu cầu từ Cửa hàng
- Thời gian làm việc theo ca 8 tiếng/ ngày.
- Xoay ca mỗi ngày (1 buổi sáng, 1 buổi tối), tuần được off 1 ngày

Chi nhánh đang cần tuyển nhân sự:

1. Số 149A Nguyễn Thị Minh Khai, P. Phạm Ngũ Lão, Quận 1, TP. Hồ Chí Minh

2. Số 107 Nguyễn Chí Thanh, P.9, Q.5, TP. HCM

3. Số 49G Phan Đăng Lưu, P.3, Q.Bình Thạnh, TP.HCM

4. Số 53, Hiệp Bình, KP7, P.Hiệp Bình Chánh, Q.Thủ Đức, TP HCM

5. Số 6 Lê Văn Việt, P.Hiệp Phú, Q.9, TP.HCM

6. Số 292 Lê Trọng Tấn, P Tây Thạnh, Q. Tân Phú, TP.HCM

7. Số 140 Phan Đình Phùng, P.1, Q. Phú Nhuận, TP.HCM

8. Số 541 Nguyễn Duy Trinh, P.Bình Trưng Đông, Q.2, TP.HCM

9. Số 131 Nguyễn Thị Thập, P.Tân Phú, Q.7, TP. HCM

10. Số 49 Nguyễn Phong Sắc, P.Dịch Vọng Hậu, Q.Cầu Giấy, TP Hà Nội

11. Số 303 Ấp Bắc, P.5, TP.Mỹ Tho, Tiền Giang",,,"- CHỈ NHẬN ỨNG VIÊN TỪ 18 ĐẾN 27 TUỔI
- Chăm chỉ, vui vẻ và độc thân
- Có khả năng giao tiếp
- Yêu thích phục vụ, tư vấn khách hàng
- Không phân biệt bằng cấp và kinh nghiệm"
,Không yêu cầu,Nhân viên chính thức,Không yêu cầu kinh nghiệm,9 - 20 triệu ( + Hoa hồng từ 3% đến 15%),Chăm sóc khách hàngBán hàngLao động phổ thông,15,2 tháng,Trung học,Việc làm theo ca/Đổi ca,TP.HCM,"- Lương cứng + thưởng. Thu nhập từ 9.000.000 đồng đến 15,000,000 đồng/tháng;
- Ký Hợp đồng lao động chính thức và đóng Bảo hiểm xã hội sau 02 tháng
- 12 ngày nghỉ phép năm
- Thời gian làm việc:
+ 7h00- 14h00 Thứ 2 - Chủ Nhật (Off thứ 7)
+ 14h00- 21h00 Thứ 2 - Thứ 7 (Off Chủ nhật)
- Thử việc 100% lương (trừ 10% thuế TNCN theo quy định của Luật Lao động)
- Đóng BHXH đầy đủ sau 2 tháng thử việc
- Lương tháng 13, Lễ, Tết
- Được training theo lộ trình chuyên nghiệp
- Môi trường làm việc chuyên nghiệp
- Lộ trình thăng tiến và tăng lương định kỳ hằng năm
- Máy tính công ty cấp","- Thực hiện các cuộc gọi điện thoại thuyết phục khách hàng thanh toán đúng hạn
- Tuân thủ kịch bản cuộc gọi theo đúng quy định.
- Theo dõi lịch thanh toán hằng ngày của khách hàng.
- Hỗ trợ tư vấn khách hàng khi có nhu cầu theo đúng vai trò trách nhiệm.
- Thực hiện các yêu cầu công viêc khác được giao bởi Quản lý.",,,"- Không yêu cầu kinh nghiệm
- Bằng cấp : Tối thiểu THPT
- Chăm chỉ, nhiệt tình, ham học hỏi
- Chấp nhận làm trong lĩnh vực tài chính
- Ưu tiên ứng viên có kinh nghiệm"
,Không yêu cầu,Nhân viên chính thức,2 năm,10 - 15 triệu,Tài xế/Lái xe/Giao nhậnGiao thông/Vận tải/Thủy lợi/Cầu đườngLao động phổ thông,5,Nhận việc ngay,Không yêu cầu,Việc làm theo ca/Đổi ca,Kiên GiangTP.HCM,"• Chế độ phúc lợi hấp dẫn: Đóng bảo hiểm theo quy định, team building/du lịch hàng năm, các chế độ đãi ngộ hấp dẫn khi sử dụng dịch vụ Tập đoàn Vingroup, bảo hiểm chăm sóc sức khỏe;
• Phụ cấp ăn ca, khám sức khỏe định kỳ, lương thưởng các dịp lễ, tết…
• Môi trường làm việc công bằng, văn minh, lộ trình thăng tiến rõ ràng.","- Lái xe trên các tuyến xe buýt điện tại HCM, Phú Quốc
- Đảm bảo an toàn, đáp ứng tiêu chuẩn dịch vụ của VinBus để mang lại sự hài lòng cho khách hàng ở mức cao nhất.
- Làm việc tại Phú Quốc hoặc HCM",,,"- Có bằng E, có kinh nghiệm ít nhất 02 năm lái xe buýt hoặc xe ô tô 30 chỗ trở lên;
- Thông thạo đường giao thông của khu vực nơi làm việc.
- Link ứng tuyển: https://forms.office.com/r/NJdnsRs1qb"
,Không yêu cầu,Nhân viên chính thức,Chưa có kinh nghiệm,7 - 15 triệu,Bán hàngThực phẩm/DV ăn uốngLao động phổ thông,10,Trao đổi trực tiếp khi phỏng vấn,Không yêu cầu,Việc làm thu nhập cao,TP.HCM,"Lương:
-Ca 4h: 4tr /tháng + PC 300k
-Ca 8h: 8tr / tháng + PC 500k + thưởng
-Ca 10h: 10tr / tháng + PC 500k + thưởng
-Ca 12h: 12tr / tháng + PC 500k + thưởng
:
- Được công cty cấp 1 bộ sản phầm dùng thử giá ưu đãi 250k, cty sẽ hoàn trả 250k này lại cho ứng viên sau 15 ngày làm việc.
- Được xét duyệt tăng lương từ 900.000đ đến 1.500.000đ
- Được hưởng lương tháng 13
- Được ký hợp đồng chính thức nhận tất cả chế độ BH theo nhà nước","- Kiểm tra nhãn mác hạn sử dụng sản phẩm trên kệ.
- Vệ sinh sạch sẽ gọn đẹp nơi làm việc.
- Sắp xếp hàng hoá theo trình tự.
- Tư vấn trao đổi sản phẩm với khách hàng.

Thời gian:
-Ca 4h: 7h30-11h30, 13h00-17h00, 17h00-19h00, 19h00-21h00.
-Ca 8h: 7h30-17h00 nghỉ trưa 1 tiếng 30 phút.
-Ca 10h: 7h30-19h00.
-Ca 12h: 7h30-21h00.
*Có xoay ca cho bạn sinh viên và bà mẹ bỉm nếu thấy phù hợp.
** Có ca dành cho bạn làm Partime 35/h",,,"- Đủ 20 tuổi đến 50 tuổi
- Vui vẻ nhiệt tình trong công việc
- Nghiêm túc với công việc"
,Không yêu cầu,Nhân viên chính thức,Dưới 1 năm,10 - 15 triệu,Kinh doanhLao động phổ thôngThực phẩm/DV ăn uống,4,Nhận việc ngay,Trung cấp,Giờ hành chính,TP.HCM,"+Mức lương:cơ bản 7 triệu/ tháng + hoa hồng.
+Nơi làm việc: Lô 35 đường số 1, Công viên phần mềm Quang Trung quận 12. Nhà hàng Mina
+ Cơm trưa nhân viên.
+ Nâng lương, thưởng theo khả năng và kết quả công việc.
+ Chế độ đầy đủ theo BLLĐ","-Duy trì và chăm sóc khách hàng cũ
-Tìm kiếm thêm KH tiềm năng
-Xử lý các khiếu nại của KH khi có yêu cầu của công ty
-Những công việc khác của PKD",,,"Ưu tiên sinh viên mới ra trường, sẽ đào tạo.
Am hiểu về dịch vụ ăn uống"
,Không yêu cầu,Nhân viên chính thức,Chưa có kinh nghiệm,7 - 10 triệu,Chăm sóc khách hàngHành chính/Thư ký/Trợ lýLao động phổ thông,7,2 tháng,Trung học,Giờ hành chính,TP.HCM,"- Tổng thu nhập: 7.000.000 đ – 10.000.000 đ (Lương cơ bản + Phụ cấp + Thưởng KPI)
+ Lương thử việc: 5.530.000 đồng + Bonus (0-4 triệu)
+ Lương chính thức: 6.130.000 đồng + Bonus (0-4 triệu)
- Lương tháng 13; Thưởng lễ, Tết
- Các chế độ BHXH, BHYT, BHTN theo đúng quy định nhà nước.
- Du lịch hàng năm, sinh nhật nhân viên
- Làm việc trong môi trường chuyên nghiệp, năng động và cạnh tranh, nhiều cơ hội thăng tiến và cơ hội đào tạo nghề nghiệp
- Được tham gia miễn phí các hoạt động, khoá đào tạo, phát triển kỹ năng giao tiếp và các kỹ năng mềm của công ty","XỬ LÝ CUỘC GỌI RA (OUTBOUND):
Gọi ra chăm sóc những khách hàng đang sử dụng dịch vụ về Card/ Loan (mảng tài chính).
Hỗ trợ, tư vấn, giải đáp thắc mắc của khách hàng về những dịch vụ và sản phẩm, khách hàng là đối tượng đang sử dụng dịch vụ của công ty.
Ghi chú lại những thông tin cần thiết và chuyển cho các bộ phận liên quan xử lý những trường hợp đặc biệt.
Thực hiện các công việc khác được yêu cầu từ quản lý trực tiếp.
*Thời gian làm việc:
Ca HC: 08:00 – 17:00 (sẽ được nghỉ ăn trưa 1 tiếng và nghỉ giải lao trong giờ 45 phút)
Off chủ nhật hàng tuần, không trực đêm.
KHÔNG BÁN HÀNG, KHÔNG ÁP DOANH SỐ, KHÔNG TÌM KIẾM KHÁCH HÀNG, KHÔNG GỌI CHÀO MỜI SẢN PHẨM
Làm việc tại văn phòng công ty, địa chỉ: Lầu 4, Cao ốc H3, 384 Hoàng Diệu, phường 6, quận 4, TP. HCM.",,,"- Kỹ năng xử lý giao tiếp tốt bằng điện thoại, giọng nói nhẹ nhàng, rõ ràng và mạch lạc
- Tốt nghiệp THPT trở lên
- Vi tính cơ bản
- Không yêu cầu kinh nghiệm.
- Ưu tiên có kinh nghiệm về Call center."
,Không yêu cầu,Nhân viên chính thức,Dưới 1 năm,6 - 8 triệu,Lao động phổ thôngBán hàngPG/PB/Lễ tân,30,Chưa cập nhật,Trung học,Việc làm theo ca/Đổi ca,TP.HCM,"- Thu nhập hấp dẫn, tham gia BHXH đầy đủ.

- Lương tháng 13.

- 15 ngày phép vượt trội.

- Mức lương sẽ thỏa thuận theo năng lực.

- Cơ hội thăng tiến cao, học hỏi được nhiều kinh nghiệm trong lĩnh vực tuyển dụng.

- Gift voucher trong các dịp lễ, sinh nhật, hiếu hỉ.

- Môi trường làm việc chuyên nghiệp, năng động.","• Đảm bảo hàng hóa được scan đúng mã vạch và và khớp giá tiền trên hệ thống POS theo quy định

• Đảm bảo hàng hóa được đóng gói và phân loại theo nhóm ngành hàng

• Thu tiền từ khách hàng theo đúng số liệu trên hệ thống POS

• Đảm bảo các chương trình khuyến mãi, khách hàng thành viên được triển khai đến khách hàng đúng và đầy đủ.

• Đảm bảo tiền nộp vào ngân quỹ đúng theo số liệu được ghi nhận trên hệ thống với các thủ tục kết toán theo quy định.

• Hạn chế việc thất thoát hàng hóa qua việc phối hợp với các bộ phận khác (an ninh, bảo vệ…)

• Đảm bảo hàng hóa đổi trả từ khách hàng được chuyển giao đầy đủ cho ngành hàng

• Thao tác thu ngân đúng theo quy trình",,,"- Tốt nghiệp THPT

- Vi tính văn phòng

- Vui vẻ, trung thực, cẩn thận, nhiệt tình và chịu khó

- Năng động, có khả năng làm việc dưới áp lực cao.

- Sẵn sàng làm việc ngoài giờ."
,Nữ,Nhân viên chính thức,Không yêu cầu kinh nghiệm,7 - 10 triệu,Bán hàngHành chính/Thư ký/Trợ lýLao động phổ thông,10,Nhận việc ngay,Không yêu cầu,Việc làm theo ca/Đổi ca,TP.HCM,"- Lương khởi điểm 1ca: + 6triệu+800k chuyên cần + thưởng
- Làm full từ : 9h30sáng - 10h tối : Lương khởi điểm 9triệu + 1 triệu chuyên cần + thưởng
- Hoa hồng theo doanh số xứng đáng với năng lực làm việc.
- Hưởng các chế độ theo Luật định và theo thoả thuận.
*** Phỏng vấn trực tiếp tại shop: từ 11h trưa đến 8h tối, phỏng vấn cả tuần kể cả ngày chủ Nhật","- Tư vấn bán hàng trực tiếp tại shop.
- Học cách trưng bài sản phẩm đẹp và thẩm mỹ,
- Vệ sinh lau chùi hàng hoá mỗi ngày.
- Thực hiện các công việc liên quan khi được yêu cầu từ người quản lý.

Thời gian làm việc có 3ca:
+ Ca sáng từ: 9h30 sáng - 6h chiều
+ Ca chiều từ 2h chiều - 10h tối
+ Full : 9h30 sáng -10h tối",,," công việc*
- Ưu tiên tăng ca được khi shop yêu cầu
- Có kinh nghiệm bán hàng trên 1 năm
- Tuổi từ 22-30
- Hoà đồng, vui vẻ, siêng năng, chân thật, đúng giờ.

Tính chất công việc*
Việc làm theo ca/Đổi ca"
,Không yêu cầu,Nhân viên chính thức,Không yêu cầu kinh nghiệm,10 - 15 triệu,Tài xế/Lái xe/Giao nhận,1,Nhận việc ngay,Trung cấp,Việc làm thêm/Làm việc ngoài giờ,TP.HCM,"- Lương cơ bản 10 - 15tr/ tháng
- Nghỉ Chủ Nhật hàng tuần
- Được tham gia BHXH theo quy định
- Lương tháng 13
- Khám sức khỏe định kỳ mỗi năm
- Mỗi năm du lịch theo công ty 1 lần
- Bao ăn trưa
- Hỗ trợ toàn bộ chi phí ngoài , phụ cấp
- Trao đổi thêm khi tham gia phỏng vấn.","- Đưa rước Vợ Giám đốc hằng ngày.

- Lấy xe từ nhà riêng của Sếp

- Vệ sinh, chăm sóc, bảo quản và theo dõi xe.

- Bảo trì các thiết bị xe nếu có vấn đề.

- Thực hiện các công việc có liên quan theo yêu cầu (trao đổi khi phỏng vấn)",,,"- Độ tuổi: độ tuổi trẻ 30 - 45 tuổi

- Có bằng lái B2.

- Ưu tiên những bạn biết chạy BMW

- Thời gian làm việc: giờ hành chính - Có thể linh hoạt giờ giấc.

- Am hiểu đường nội thành TP.HCM"
,Không yêu cầu,Nhân viên chính thức,Không yêu cầu kinh nghiệm,6 - 11 triệu,Bán hàngSinh viên/Mới tốt nghiệp/Thực tậpLao động phổ thông,20,2 tháng,Không yêu cầu,Việc làm theo ca/Đổi ca,TP.HCMTiền GiangHà Nội,"- Thu nhập 6-11 triệu/ tháng (trong đó LCB: 5tr1 triệu + Thưởng doanh số bán hàng hàng tháng: Tương đương 1% doanh số (theo mức độ hoàn thành chỉ tiêu)
- Thưởng Quý: Tỏa sáng cùng Shoptretho
- Tăng lương theo quy định hàng năm
- Thưởng năm: Theo kết quả KPI hàng năm tối thiểu 85% (từ 0,5 đến 2 tháng lương)
- Thưởng lương tháng 13
- Chế độ: BHYT, BHXH, BHTN đầy đủ
- Du lịch (Teambuilding) 1 lần/ năm
- Thưởng Lễ, Tết, Sinh nhật, thâm niên
- Mua hàng giảm giá ưu đãi
- 12 ngày phép năm (khi chính thức)
- Được đào tạo đầu vào và phát triển năng lực trong quá trình làm việc (giao tiếp, bán hàng, quản lý...)
- Cơ hội thăng tiến Cửa hàng trưởng, Quản lý khu vực sau 6 tháng","Được thành lập vào năm 2009, Shop Trẻ Thơ là Hệ thống cửa hàng Mẹ và Bé uy tín đã có mặt trên toàn quốc với 37 cửa hàng chuyên về các mặt hàng chăm sóc riêng cho Mẹ và Bé, hiện tại cần tuyển Nhân Viên Bán Hàng, thực hiện các công việc sau:

- Tư vấn bán hàng, hỗ trợ thông tin sản phẩm cho KH
- Thực hiện các hoạt động hỗ trợ bán hàng như: vệ sinh trưng bày, kiểm kê hàng hóa, kiểm tra sản phẩm và tem nhãn…
- Cập nhật thông tin sử dụng của sản phẩm và chương trình khuyến mãi của hệ thống để tư vấn cho khách hàng
- Các công việc hỗ trợ khác theo nhu cầu từ Cửa hàng
- Thời gian làm việc theo ca 8 tiếng/ ngày.
- Xoay ca mỗi ngày (1 buổi sáng, 1 buổi tối), tuần được off 1 ngày

Chi nhánh đang cần tuyển nhân sự:

1. Số 149A Nguyễn Thị Minh Khai, P. Phạm Ngũ Lão, Quận 1, TP. Hồ Chí Minh

2. Số 107 Nguyễn Chí Thanh, P.9, Q.5, TP. HCM

3. Số 49G Phan Đăng Lưu, P.3, Q.Bình Thạnh, TP.HCM

4. Số 53, Hiệp Bình, KP7, P.Hiệp Bình Chánh, Q.Thủ Đức, TP HCM

5. Số 6 Lê Văn Việt, P.Hiệp Phú, Q.9, TP.HCM

6. Số 292 Lê Trọng Tấn, P Tây Thạnh, Q. Tân Phú, TP.HCM

7. Số 140 Phan Đình Phùng, P.1, Q. Phú Nhuận, TP.HCM

8. Số 541 Nguyễn Duy Trinh, P.Bình Trưng Đông, Q.2, TP.HCM

9. Số 131 Nguyễn Thị Thập, P.Tân Phú, Q.7, TP. HCM

10. Số 49 Nguyễn Phong Sắc, P.Dịch Vọng Hậu, Q.Cầu Giấy, TP Hà Nội

11. Số 303 Ấp Bắc, P.5, TP.Mỹ Tho, Tiền Giang",,,"- CHỈ NHẬN ỨNG VIÊN TỪ 18 ĐẾN 27 TUỔI
- Chăm chỉ, vui vẻ và độc thân
- Có khả năng giao tiếp
- Yêu thích phục vụ, tư vấn khách hàng
- Không phân biệt bằng cấp và kinh nghiệm"
